kernel_id,section,metric_name,value
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Max Cluster Size,8.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Overall GPU Occupancy,0.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Theoretical Active Warps per SM,8.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Theoretical Occupancy,16.67
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,Compute (SM) Throughput,22.47
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,DRAM Frequency,13.77
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,DRAM Throughput,54.36
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,Duration,18.34
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,Elapsed Cycles,36383.0
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,L1/TEX Cache Throughput,23.53
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,L2 Cache Throughput,35.55
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,Memory Throughput,54.36
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,SM Active Cycles,30990.14
kernel_0002_1faa81623a925a9e2084e148672df203,SpeedOfLight,SM Frequency,1.97
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,L1/TEX Hit Rate,31.77
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,L2 Hit Rate,5.3
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,Max Bandwidth,54.36
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,Mem Busy,35.55
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,Mem Pipes Busy,19.77
kernel_0002_1faa81623a925a9e2084e148672df203,MemoryWorkloadAnalysis,Memory Throughput,958.09
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Achieved Active Warps Per SM,7.31
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Achieved Occupancy,15.23
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Block Limit Barriers,24.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Block Limit Registers,4.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Block Limit SM,24.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Block Limit Shared Mem,11.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Block Limit Warps,24.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Cluster Occupancy,0.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Max Active Clusters,0.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Max Cluster Size,8.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Overall GPU Occupancy,0.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Theoretical Active Warps per SM,8.0
kernel_0002_1faa81623a925a9e2084e148672df203,Occupancy,Theoretical Occupancy,16.67
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,Compute (SM) Throughput,41.49
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,DRAM Frequency,13.77
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,DRAM Throughput,8.13
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,Duration,23.42
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,Elapsed Cycles,46970.0
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,L1/TEX Cache Throughput,49.23
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,L2 Cache Throughput,61.83
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,Memory Throughput,61.83
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,SM Active Cycles,39578.42
kernel_0003_0a7671622339a06b4a022feebfe90426,SpeedOfLight,SM Frequency,1.99
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.53
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,L2 Hit Rate,95.4
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,Max Bandwidth,60.91
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,Mem Busy,61.83
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,Mem Pipes Busy,41.49
kernel_0003_0a7671622339a06b4a022feebfe90426,MemoryWorkloadAnalysis,Memory Throughput,143.2
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Achieved Active Warps Per SM,7.29
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Achieved Occupancy,15.18
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Block Limit Barriers,24.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Block Limit Registers,5.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Block Limit SM,24.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Block Limit Shared Mem,2.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Block Limit Warps,12.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Cluster Occupancy,0.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Max Active Clusters,0.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Max Cluster Size,8.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Overall GPU Occupancy,0.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Theoretical Active Warps per SM,8.0
kernel_0003_0a7671622339a06b4a022feebfe90426,Occupancy,Theoretical Occupancy,16.67
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,Compute (SM) Throughput,0.02
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,DRAM Frequency,13.55
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,DRAM Throughput,0.4
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,Duration,4.7
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,Elapsed Cycles,9357.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,L1/TEX Cache Throughput,14.2
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,L2 Cache Throughput,1.38
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,Memory Throughput,6.32
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,SM Active Cycles,63.37
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,SpeedOfLight,SM Frequency,1.99
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,L2 Hit Rate,89.96
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,Max Bandwidth,6.05
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,Mem Busy,6.32
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,Mem Pipes Busy,0.01
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,MemoryWorkloadAnalysis,Memory Throughput,6.97
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Achieved Active Warps Per SM,3.99
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Achieved Occupancy,8.31
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Block Limit Barriers,24.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Block Limit Registers,16.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Block Limit SM,24.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Block Limit Shared Mem,32.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Block Limit Warps,12.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Cluster Occupancy,0.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Max Active Clusters,0.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Max Cluster Size,8.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Overall GPU Occupancy,0.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Theoretical Active Warps per SM,48.0
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,Occupancy,Theoretical Occupancy,100.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,Compute (SM) Throughput,32.1
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,DRAM Frequency,13.78
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,DRAM Throughput,8.87
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,Duration,111.81
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,Elapsed Cycles,224652.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,L1/TEX Cache Throughput,16.74
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,L2 Cache Throughput,27.74
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,Memory Throughput,27.74
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,SM Active Cycles,161177.21
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,SpeedOfLight,SM Frequency,2.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.55
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,L2 Hit Rate,80.44
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,Max Bandwidth,27.59
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,Mem Busy,27.74
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,Mem Pipes Busy,8.19
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,MemoryWorkloadAnalysis,Memory Throughput,156.55
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Achieved Active Warps Per SM,8.03
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Achieved Occupancy,16.73
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Block Limit Barriers,24.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Block Limit Registers,1.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Block Limit SM,24.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Block Limit Shared Mem,1.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Block Limit Warps,6.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Cluster Occupancy,0.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Max Active Clusters,0.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Max Cluster Size,8.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Overall GPU Occupancy,0.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Theoretical Active Warps per SM,8.0
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,Occupancy,Theoretical Occupancy,16.67
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,Compute (SM) Throughput,0.28
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,DRAM Frequency,13.51
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,DRAM Throughput,3.52
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,Duration,2.88
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,Elapsed Cycles,5689.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,L1/TEX Cache Throughput,4.61
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,L2 Cache Throughput,2.21
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,Memory Throughput,10.47
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,SM Active Cycles,672.19
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,SpeedOfLight,SM Frequency,1.97
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.05
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,L2 Hit Rate,25.06
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,Max Bandwidth,10.03
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,Mem Busy,10.47
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,Mem Pipes Busy,0.28
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,MemoryWorkloadAnalysis,Memory Throughput,60.8
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Achieved Active Warps Per SM,3.9
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Achieved Occupancy,8.12
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Block Limit Barriers,24.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Block Limit Registers,10.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Block Limit SM,24.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Block Limit Shared Mem,32.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Block Limit Warps,12.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Cluster Occupancy,0.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Max Active Clusters,0.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Max Cluster Size,8.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Overall GPU Occupancy,0.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Theoretical Active Warps per SM,40.0
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,Occupancy,Theoretical Occupancy,83.33
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,Compute (SM) Throughput,0.64
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,DRAM Frequency,13.53
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,DRAM Throughput,1.8
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,Duration,3.14
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,Elapsed Cycles,6201.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,L1/TEX Cache Throughput,2.48
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,L2 Cache Throughput,1.96
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,Memory Throughput,9.57
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,SM Active Cycles,784.72
kernel_0007_00005f09c4340a046ca3c5a663a85a78,SpeedOfLight,SM Frequency,1.97
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.08
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,L2 Hit Rate,45.68
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,Max Bandwidth,9.16
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,Mem Busy,9.57
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,Mem Pipes Busy,0.16
kernel_0007_00005f09c4340a046ca3c5a663a85a78,MemoryWorkloadAnalysis,Memory Throughput,31.1
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Achieved Active Warps Per SM,3.71
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Achieved Occupancy,7.73
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Block Limit Barriers,24.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Block Limit Registers,12.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Block Limit SM,24.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Block Limit Shared Mem,32.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Block Limit Warps,12.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Cluster Occupancy,0.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Max Active Clusters,0.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Max Cluster Size,8.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Overall GPU Occupancy,0.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Theoretical Active Warps per SM,48.0
kernel_0007_00005f09c4340a046ca3c5a663a85a78,Occupancy,Theoretical Occupancy,100.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,Compute (SM) Throughput,2.66
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,DRAM Frequency,13.67
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,DRAM Throughput,49.42
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,Duration,7.58
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,Elapsed Cycles,15200.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,L1/TEX Cache Throughput,10.36
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,L2 Cache Throughput,23.97
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,Memory Throughput,49.42
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,SM Active Cycles,11626.75
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,SpeedOfLight,SM Frequency,2.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,L2 Hit Rate,2.04
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,Max Bandwidth,49.42
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,Mem Busy,23.97
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,Mem Pipes Busy,2.66
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,MemoryWorkloadAnalysis,Memory Throughput,864.78
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Achieved Active Warps Per SM,25.92
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Achieved Occupancy,54.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Block Limit Barriers,24.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Block Limit Registers,12.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Block Limit SM,24.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Block Limit Shared Mem,32.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Block Limit Warps,12.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Cluster Occupancy,0.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Max Active Clusters,0.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Max Cluster Size,8.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Overall GPU Occupancy,0.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Theoretical Active Warps per SM,48.0
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,Occupancy,Theoretical Occupancy,100.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,Compute (SM) Throughput,36.75
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,DRAM Frequency,13.78
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,DRAM Throughput,37.26
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,Duration,160.74
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,Elapsed Cycles,321190.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,L1/TEX Cache Throughput,37.03
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,L2 Cache Throughput,34.01
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,Memory Throughput,37.26
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,SM Active Cycles,298814.6
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,SpeedOfLight,SM Frequency,1.99
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,L1/TEX Hit Rate,0.34
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,L2 Hit Rate,61.97
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,Max Bandwidth,37.26
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,Mem Busy,34.73
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,Mem Pipes Busy,25.47
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,MemoryWorkloadAnalysis,Memory Throughput,657.28
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Achieved Active Warps Per SM,14.79
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Achieved Occupancy,30.81
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Block Limit Barriers,24.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Block Limit Registers,4.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Block Limit SM,24.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Block Limit Shared Mem,5.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Block Limit Warps,12.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Cluster Occupancy,0.0
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,Occupancy,Max Active Clusters,0.0
